topicId;words..
0;bạn_nào chi_đoàn tuần_sau đồng_chí nào_nhỉ câu_hỏi thắc_mắc không_biết khả_năng kết_quả khoa_cntt
1;trung_anh sáng_thứ tham_gia anh_dinh ngô_núi tuan_anh khắc_quân hưng_thịnh thời_gian nguyễn_hưng anh_cho
2;máy_tính cho_hỏi hôm_nay ngày_mai đội_bóng kiến_trúc chiều_mai năm_nay trúc_máy tiểu_xung họa_máy
3;mọi_người thế_nào các_thím thím_nào cho_mình cái_này chiều_nay sáng_mai nào_làm mình_hỏi lên_dropbox
4;thông_báo anh_nào khoa_học sinh_hoạt đánh_giá thứ_tuần hiện_đại các_bạn đối_thoại học_máy các_anh
5;các_bạn bài_tập thông_tin tham_gia cho_các của_các làm_việc các_lớp hoạt_động thực_tập thành_viên
6;thằng_nào môn_học các_cậu của_mình đào_tạo thực_hành hỏi_cái trong_dropbox cho_xin tình_hình phòng_đào
7;như_thế không_nhỉ chuyên_công giá_trị tiền_đạo thế_này còn_lại với_lớp học_xong với_các cầu_thủ
8;lớp_mình chương_trình rèn_luyện điểm_rèn kiểm_tra của_thầy sau_khi điểm_danh lập_trình năm_ngoái tín_chỉ
9;các_bạn sinh_viên danh_sách thời_gian công_nghệ địa_điểm tuần_này đại_học chủ_nhật thực_hiện đăng_học
